ダウンロードした時刻：2018/07/22 14:25:01

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1960/1/1,7.8,8,1,11.3,8,1,3.0,8,1
1960/1/2,5.6,8,1,10.1,8,1,0.9,8,1
1960/1/3,5.1,8,1,12.1,8,1,-0.5,8,1
1960/1/4,7.3,8,1,16.8,8,1,-0.6,8,1
1960/1/5,10.8,8,1,21.0,8,1,1.5,8,1
1960/1/6,6.2,8,1,12.2,8,1,4.0,8,1
1960/1/7,5.2,8,1,12.0,8,1,-0.1,8,1
1960/1/8,5.5,8,1,11.4,8,1,0.3,8,1
1960/1/9,5.7,8,1,10.9,8,1,2.5,8,1
1960/1/10,6.3,8,1,13.0,8,1,0.0,8,1
1960/1/11,8.0,8,1,13.4,8,1,2.3,8,1
1960/1/12,6.2,8,1,9.5,8,1,2.1,8,1
1960/1/13,5.6,8,1,11.2,8,1,-1.5,8,1
1960/1/14,4.4,8,1,9.6,8,1,0.7,8,1
1960/1/15,6.8,8,1,12.7,8,1,0.6,8,1
1960/1/16,2.4,8,1,5.0,8,1,1.3,8,1
1960/1/17,5.5,8,1,9.2,8,1,1.3,8,1
1960/1/18,3.9,8,1,9.4,8,1,-0.9,8,1
1960/1/19,4.7,8,1,9.5,8,1,-0.9,8,1
1960/1/20,5.1,8,1,9.4,8,1,3.2,8,1
1960/1/21,5.4,8,1,13.9,8,1,-1.1,8,1
1960/1/22,4.2,8,1,7.5,8,1,0.7,8,1
1960/1/23,3.2,8,1,7.3,8,1,0.1,8,1
1960/1/24,0.4,8,1,3.8,8,1,-1.6,8,1
1960/1/25,1.9,8,1,8.6,8,1,-5.6,8,1
1960/1/26,3.5,8,1,11.5,8,1,-4.6,8,1
1960/1/27,3.9,8,1,7.6,8,1,-1.2,8,1
1960/1/28,2.1,8,1,6.5,8,1,-2.0,8,1
1960/1/29,3.1,8,1,9.6,8,1,-3.0,8,1
1960/1/30,5.4,8,1,10.9,8,1,0.4,8,1
1960/1/31,5.2,8,1,11.3,8,1,-0.7,8,1
1960/2/1,7.2,8,1,13.3,8,1,0.5,8,1
1960/2/2,6.5,8,1,8.6,8,1,4.7,8,1
1960/2/3,4.8,8,1,7.3,8,1,3.2,8,1
1960/2/4,6.0,8,1,12.5,8,1,1.5,8,1
1960/2/5,6.3,8,1,11.1,8,1,1.4,8,1
1960/2/6,5.8,8,1,12.5,8,1,2.2,8,1
1960/2/7,6.3,8,1,14.9,8,1,-0.5,8,1
1960/2/8,9.3,8,1,15.0,8,1,1.9,8,1
1960/2/9,12.2,8,1,19.3,8,1,6.7,8,1
1960/2/10,8.3,8,1,13.5,8,1,7.5,8,1
1960/2/11,3.6,8,1,10.4,8,1,1.2,8,1
1960/2/12,2.7,8,1,8.1,8,1,-2.5,8,1
1960/2/13,4.9,8,1,10.6,8,1,-1.5,8,1
1960/2/14,7.0,8,1,16.6,8,1,-0.3,8,1
1960/2/15,3.1,8,1,7.1,8,1,1.7,8,1
1960/2/16,4.6,8,1,10.2,8,1,-2.4,8,1
1960/2/17,5.2,8,1,10.9,8,1,-0.2,8,1
1960/2/18,5.5,8,1,11.6,8,1,1.6,8,1
1960/2/19,5.8,8,1,10.5,8,1,0.7,8,1
1960/2/20,7.9,8,1,15.8,8,1,-1.2,8,1
1960/2/21,7.5,8,1,17.4,8,1,1.9,8,1
1960/2/22,6.0,8,1,12.7,8,1,0.2,8,1
1960/2/23,6.8,8,1,12.5,8,1,1.9,8,1
1960/2/24,8.3,8,1,15.5,8,1,1.5,8,1
1960/2/25,10.0,8,1,17.6,8,1,2.1,8,1
1960/2/26,10.6,8,1,19.5,8,1,3.4,8,1
1960/2/27,5.1,8,1,7.3,8,1,4.7,8,1
1960/2/28,6.5,8,1,9.9,8,1,2.9,8,1
1960/2/29,9.0,8,1,14.7,8,1,2.5,8,1
1960/3/1,8.9,8,1,13.9,8,1,5.7,8,1
1960/3/2,10.4,8,1,17.6,8,1,3.4,8,1
1960/3/3,8.7,8,1,14.0,8,1,5.7,8,1
1960/3/4,4.4,8,1,5.5,8,1,3.8,8,1
1960/3/5,6.6,8,1,12.0,8,1,1.3,8,1
1960/3/6,10.5,8,1,16.0,8,1,4.6,8,1
1960/3/7,10.5,8,1,16.3,8,1,6.9,8,1
1960/3/8,7.8,8,1,13.4,8,1,3.6,8,1
1960/3/9,8.6,8,1,12.4,8,1,7.0,8,1
1960/3/10,10.9,8,1,15.9,8,1,7.2,8,1
1960/3/11,11.1,8,1,12.8,8,1,8.8,8,1
1960/3/12,15.4,8,1,19.2,8,1,10.8,8,1
1960/3/13,9.6,8,1,16.0,8,1,11.0,8,1
1960/3/14,6.2,8,1,10.5,8,1,2.6,8,1
1960/3/15,5.9,8,1,10.5,8,1,3.0,8,1
1960/3/16,4.0,8,1,9.2,8,1,-0.4,8,1
1960/3/17,7.5,8,1,13.8,8,1,1.2,8,1
1960/3/18,7.4,8,1,13.3,8,1,3.3,8,1
1960/3/19,8.0,8,1,14.5,8,1,0.8,8,1
1960/3/20,12.1,8,1,18.8,8,1,2.8,8,1
1960/3/21,16.0,8,1,19.1,8,1,8.8,8,1
1960/3/22,6.7,8,1,11.7,8,1,5.5,8,1
1960/3/23,8.6,8,1,15.6,8,1,0.7,8,1
1960/3/24,7.9,8,1,12.3,8,1,7.1,8,1
1960/3/25,7.0,8,1,11.6,8,1,1.7,8,1
1960/3/26,6.5,8,1,8.8,8,1,4.6,8,1
1960/3/27,10.5,8,1,16.1,8,1,6.8,8,1
