ダウンロードした時刻：2018/07/22 14:27:15

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1900/1/1,4.5,8,1,7.3,8,1,1.6,8,1
1900/1/2,1.2,8,1,4.9,8,1,-1.0,8,1
1900/1/3,0.7,8,1,4.5,8,1,-2.9,8,1
1900/1/4,2.5,8,1,8.5,8,1,-2.5,8,1
1900/1/5,2.1,8,1,7.6,8,1,-3.2,8,1
1900/1/6,2.9,8,1,6.0,8,1,0.2,8,1
1900/1/7,0.1,8,1,1.7,8,1,-1.2,8,1
1900/1/8,0.6,8,1,3.8,8,1,-2.4,8,1
1900/1/9,-0.8,8,1,5.1,8,1,-5.8,8,1
1900/1/10,-0.1,8,1,1.6,8,1,-3.2,8,1
1900/1/11,2.5,8,1,6.1,8,1,-0.4,8,1
1900/1/12,2.6,8,1,7.0,8,1,-0.8,8,1
1900/1/13,1.6,8,1,6.1,8,1,-1.8,8,1
1900/1/14,3.4,8,1,14.1,8,1,-3.1,8,1
1900/1/15,1.7,8,1,8.4,8,1,-3.4,8,1
1900/1/16,0.8,8,1,7.0,8,1,-4.4,8,1
1900/1/17,0.6,8,1,5.0,8,1,-3.5,8,1
1900/1/18,0.9,8,1,7.9,8,1,-6.1,8,1
1900/1/19,4.0,8,1,10.6,8,1,-1.0,8,1
1900/1/20,4.8,8,1,8.8,8,1,-0.2,8,1
1900/1/21,1.2,8,1,4.0,8,1,0.4,8,1
1900/1/22,2.2,8,1,4.9,8,1,-1.1,8,1
1900/1/23,2.2,8,1,4.4,8,1,-0.5,8,1
1900/1/24,1.5,8,1,3.5,8,1,-1.2,8,1
1900/1/25,-0.5,8,1,3.6,8,1,-2.3,8,1
1900/1/26,-3.3,8,1,-1.0,8,1,-6.1,8,1
1900/1/27,0.9,8,1,7.9,8,1,-5.8,8,1
1900/1/28,1.7,8,1,5.9,8,1,-0.5,8,1
1900/1/29,2.9,8,1,9.5,8,1,-0.6,8,1
1900/1/30,2.2,8,1,6.0,8,1,-2.1,8,1
1900/1/31,1.1,8,1,4.4,8,1,-1.3,8,1
1900/2/1,2.7,8,1,6.5,8,1,0.1,8,1
1900/2/2,1.6,8,1,4.1,8,1,-1.6,8,1
1900/2/3,2.6,8,1,5.5,8,1,-0.6,8,1
1900/2/4,4.4,8,1,6.2,8,1,1.7,8,1
1900/2/5,2.5,8,1,8.1,8,1,0.7,8,1
1900/2/6,-0.1,8,1,3.3,8,1,-3.3,8,1
1900/2/7,-0.3,8,1,3.3,8,1,-3.9,8,1
1900/2/8,1.3,8,1,7.8,8,1,-2.3,8,1
1900/2/9,1.8,8,1,8.2,8,1,-2.8,8,1
1900/2/10,3.6,8,1,9.0,8,1,-1.6,8,1
1900/2/11,3.4,8,1,10.1,8,1,-2.7,8,1
1900/2/12,3.7,8,1,8.7,8,1,0.2,8,1
1900/2/13,4.6,8,1,11.5,8,1,-2.3,8,1
1900/2/14,4.2,8,1,10.0,8,1,1.7,8,1
1900/2/15,2.9,8,1,5.7,8,1,-0.4,8,1
1900/2/16,0.7,8,1,5.3,8,1,-4.1,8,1
1900/2/17,0.4,8,1,3.4,8,1,-3.0,8,1
1900/2/18,2.5,8,1,5.3,8,1,0.2,8,1
1900/2/19,4.4,8,1,10.2,8,1,0.6,8,1
1900/2/20,3.4,8,1,9.4,8,1,-0.8,8,1
1900/2/21,4.3,8,1,9.7,8,1,-0.6,8,1
1900/2/22,4.0,8,1,10.7,8,1,0.7,8,1
1900/2/23,2.8,8,1,8.0,8,1,-0.8,8,1
1900/2/24,2.6,8,1,9.2,8,1,-2.0,8,1
1900/2/25,4.5,8,1,12.4,8,1,-1.1,8,1
1900/2/26,7.0,8,1,15.6,8,1,-1.6,8,1
1900/2/27,5.4,8,1,11.0,8,1,1.0,8,1
1900/2/28,5.1,8,1,10.3,8,1,1.2,8,1
1900/3/1,4.9,8,1,9.1,8,1,1.1,8,1
1900/3/2,4.1,8,1,9.2,8,1,1.6,8,1
1900/3/3,6.3,8,1,12.5,8,1,-0.3,8,1
1900/3/4,4.6,8,1,6.3,8,1,2.4,8,1
1900/3/5,5.1,8,1,10.8,8,1,1.0,8,1
1900/3/6,8.2,8,1,16.3,8,1,-0.6,8,1
1900/3/7,8.5,8,1,15.9,8,1,2.2,8,1
1900/3/8,4.6,8,1,9.0,8,1,0.9,8,1
1900/3/9,4.0,8,1,9.7,8,1,-1.9,8,1
1900/3/10,4.9,8,1,10.6,8,1,-2.8,8,1
1900/3/11,5.6,8,1,9.4,8,1,1.5,8,1
1900/3/12,2.5,8,1,7.6,8,1,-1.7,8,1
1900/3/13,4.1,8,1,11.4,8,1,-3.5,8,1
1900/3/14,3.2,8,1,7.3,8,1,-0.3,8,1
1900/3/15,4.4,8,1,9.4,8,1,0.8,8,1
1900/3/16,7.0,8,1,11.5,8,1,3.9,8,1
1900/3/17,5.2,8,1,7.9,8,1,3.4,8,1
1900/3/18,2.5,8,1,4.3,8,1,1.6,8,1
1900/3/19,2.8,8,1,8.3,8,1,-0.9,8,1
1900/3/20,4.9,8,1,11.3,8,1,-1.6,8,1
1900/3/21,5.7,8,1,11.7,8,1,0.9,8,1
1900/3/22,5.3,8,1,7.6,8,1,3.6,8,1
1900/3/23,9.4,8,1,15.4,8,1,3.7,8,1
1900/3/24,5.4,8,1,7.7,8,1,1.2,8,1
1900/3/25,9.9,8,1,17.1,8,1,5.8,8,1
1900/3/26,8.9,8,1,14.1,8,1,6.0,8,1
1900/3/27,5.8,8,1,6.9,8,1,4.2,8,1
