ダウンロードした時刻：2018/07/22 14:28:06

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1880/1/1,5.8,8,1,12.5,8,1,0.1,8,1
1880/1/2,3.9,8,1,10.1,8,1,-2.1,8,1
1880/1/3,6.5,8,1,12.9,8,1,1.2,8,1
1880/1/4,4.2,8,1,12.0,8,1,-1.3,8,1
1880/1/5,3.3,8,1,10.6,8,1,-3.1,8,1
1880/1/6,1.7,8,1,9.9,8,1,-2.3,8,1
1880/1/7,1.6,8,1,8.7,8,1,-4.5,8,1
1880/1/8,2.6,8,1,9.7,8,1,-3.7,8,1
1880/1/9,2.1,8,1,7.2,8,1,-3.3,8,1
1880/1/10,4.1,8,1,8.9,8,1,-0.4,8,1
1880/1/11,4.5,8,1,11.7,8,1,-0.3,8,1
1880/1/12,3.7,8,1,10.8,8,1,-0.7,8,1
1880/1/13,3.1,8,1,9.6,8,1,-2.8,8,1
1880/1/14,1.2,8,1,6.7,8,1,-3.3,8,1
1880/1/15,1.8,8,1,8.9,8,1,-4.3,8,1
1880/1/16,1.6,8,1,7.4,8,1,-3.4,8,1
1880/1/17,0.8,8,1,8.1,8,1,-6.4,8,1
1880/1/18,1.6,8,1,7.4,8,1,-3.2,8,1
1880/1/19,1.7,8,1,4.8,8,1,-1.8,8,1
1880/1/20,2.6,8,1,8.8,8,1,-2.4,8,1
1880/1/21,1.0,8,1,3.4,8,1,-1.2,8,1
1880/1/22,4.7,8,1,10.2,8,1,0.4,8,1
1880/1/23,1.5,8,1,5.9,8,1,-1.4,8,1
1880/1/24,0.6,8,1,6.6,8,1,-3.7,8,1
1880/1/25,-0.2,8,1,7.0,8,1,-4.9,8,1
1880/1/26,2.3,8,1,9.4,8,1,-2.5,8,1
1880/1/27,2.1,8,1,8.2,8,1,-2.3,8,1
1880/1/28,2.8,8,1,10.6,8,1,-3.2,8,1
1880/1/29,2.1,8,1,8.6,8,1,-3.3,8,1
1880/1/30,2.0,8,1,6.9,8,1,-2.7,8,1
1880/1/31,1.8,8,1,7.9,8,1,-1.5,8,1
1880/2/1,1.9,8,1,5.7,8,1,-1.0,8,1
1880/2/2,4.8,8,1,12.4,8,1,-1.1,8,1
1880/2/3,7.3,8,1,16.2,8,1,0.0,8,1
1880/2/4,3.9,8,1,7.4,8,1,2.0,8,1
1880/2/5,2.2,8,1,7.3,8,1,-1.6,8,1
1880/2/6,1.5,8,1,4.8,8,1,-2.5,8,1
1880/2/7,5.4,8,1,7.8,8,1,3.3,8,1
1880/2/8,5.7,8,1,7.4,8,1,2.8,8,1
1880/2/9,3.2,8,1,4.8,8,1,1.8,8,1
1880/2/10,6.4,8,1,12.2,8,1,2.7,8,1
1880/2/11,6.6,8,1,9.5,8,1,4.2,8,1
1880/2/12,7.1,8,1,9.3,8,1,4.9,8,1
1880/2/13,6.8,8,1,12.3,8,1,2.3,8,1
1880/2/14,7.9,8,1,14.0,8,1,1.1,8,1
1880/2/15,10.3,8,1,15.8,8,1,1.3,8,1
1880/2/16,13.1,8,1,16.8,8,1,6.7,8,1
1880/2/17,5.5,8,1,7.4,8,1,4.2,8,1
1880/2/18,6.3,8,1,10.2,8,1,3.3,8,1
1880/2/19,2.8,8,1,6.7,8,1,1.2,8,1
1880/2/20,7.9,8,1,12.8,8,1,1.1,8,1
1880/2/21,8.4,8,1,11.2,8,1,4.6,8,1
1880/2/22,5.2,8,1,7.9,8,1,2.2,8,1
1880/2/23,3.6,8,1,8.6,8,1,-1.2,8,1
1880/2/24,3.1,8,1,8.4,8,1,-2.9,8,1
1880/2/25,3.1,8,1,7.9,8,1,-2.1,8,1
1880/2/26,4.7,8,1,10.9,8,1,-2.7,8,1
1880/2/27,8.3,8,1,11.7,8,1,4.5,8,1
1880/2/28,12.1,8,1,19.2,8,1,6.2,8,1
1880/2/29,3.1,8,1,5.6,8,1,0.3,8,1
1880/3/1,2.8,8,1,8.2,8,1,-2.1,8,1
1880/3/2,0.2,8,1,2.3,8,1,-0.8,8,1
1880/3/3,2.2,8,1,7.4,8,1,-3.1,8,1
1880/3/4,3.2,8,1,7.7,8,1,-2.2,8,1
1880/3/5,2.8,8,1,8.7,8,1,-1.5,8,1
1880/3/6,4.7,8,1,10.6,8,1,-1.8,8,1
1880/3/7,7.2,8,1,13.4,8,1,0.8,8,1
1880/3/8,5.3,8,1,6.7,8,1,3.8,8,1
1880/3/9,7.3,8,1,12.2,8,1,1.8,8,1
1880/3/10,9.8,8,1,15.2,8,1,2.1,8,1
1880/3/11,10.5,8,1,14.8,8,1,5.2,8,1
1880/3/12,10.2,8,1,16.1,8,1,5.1,8,1
1880/3/13,9.7,8,1,16.1,8,1,2.9,8,1
1880/3/14,10.5,8,1,18.6,8,1,5.2,8,1
1880/3/15,10.4,8,1,17.4,8,1,1.2,8,1
1880/3/16,9.5,8,1,14.6,8,1,3.4,8,1
1880/3/17,14.9,8,1,21.6,8,1,7.6,8,1
1880/3/18,13.5,8,1,18.3,8,1,10.4,8,1
1880/3/19,14.3,8,1,18.4,8,1,11.3,8,1
1880/3/20,10.1,8,1,16.8,8,1,1.4,8,1
1880/3/21,6.3,8,1,12.3,8,1,-0.2,8,1
1880/3/22,9.1,8,1,13.4,8,1,3.5,8,1
1880/3/23,9.0,8,1,14.8,8,1,5.6,8,1
1880/3/24,5.4,8,1,8.9,8,1,1.6,8,1
1880/3/25,7.9,8,1,14.3,8,1,-1.6,8,1
1880/3/26,10.8,8,1,18.9,8,1,0.9,8,1
