ダウンロードした時刻：2018/07/22 14:24:36

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1970/1/1,5.2,8,1,9.0,8,1,1.8,8,1
1970/1/2,6.1,8,1,9.4,8,1,1.6,8,1
1970/1/3,5.4,8,1,8.0,8,1,3.7,8,1
1970/1/4,1.6,8,1,4.1,8,1,0.4,8,1
1970/1/5,1.6,8,1,6.0,8,1,-1.3,8,1
1970/1/6,3.3,8,1,8.7,8,1,-2.8,8,1
1970/1/7,5.4,8,1,11.4,8,1,-1.2,8,1
1970/1/8,3.8,8,1,7.0,8,1,1.8,8,1
1970/1/9,4.5,8,1,9.1,8,1,-1.1,8,1
1970/1/10,4.2,8,1,8.1,8,1,1.3,8,1
1970/1/11,5.7,8,1,10.8,8,1,-0.8,8,1
1970/1/12,6.8,8,1,10.6,8,1,2.7,8,1
1970/1/13,7.8,8,1,14.2,8,1,1.8,8,1
1970/1/14,3.8,8,1,7.5,8,1,1.3,8,1
1970/1/15,1.6,8,1,4.2,8,1,-1.9,8,1
1970/1/16,1.3,8,1,6.5,8,1,-1.6,8,1
1970/1/17,0.8,8,1,5.9,8,1,-4.0,8,1
1970/1/18,3.2,8,1,8.0,8,1,-2.4,8,1
1970/1/19,3.3,8,1,8.1,8,1,-1.2,8,1
1970/1/20,3.7,8,1,8.9,8,1,-1.0,8,1
1970/1/21,5.1,8,1,11.1,8,1,-0.4,8,1
1970/1/22,5.2,8,1,10.0,8,1,1.2,8,1
1970/1/23,4.5,8,1,7.8,8,1,2.0,8,1
1970/1/24,6.0,8,1,9.8,8,1,3.0,8,1
1970/1/25,5.8,8,1,10.0,8,1,2.8,8,1
1970/1/26,4.4,8,1,7.4,8,1,1.5,8,1
1970/1/27,4.4,8,1,9.6,8,1,-0.1,8,1
1970/1/28,3.8,8,1,8.7,8,1,-1.4,8,1
1970/1/29,5.1,8,1,10.6,8,1,-0.8,8,1
1970/1/30,6.9,8,1,11.6,8,1,2.8,8,1
1970/1/31,10.1,8,1,13.9,8,1,5.0,8,1
1970/2/1,5.8,8,1,10.3,8,1,3.1,8,1
1970/2/2,4.7,8,1,9.2,8,1,0.9,8,1
1970/2/3,5.1,8,1,9.3,8,1,2.1,8,1
1970/2/4,4.6,8,1,9.6,8,1,-1.0,8,1
1970/2/5,1.8,8,1,6.5,8,1,-0.2,8,1
1970/2/6,4.2,8,1,9.0,8,1,-1.1,8,1
1970/2/7,4.1,8,1,7.5,8,1,-0.3,8,1
1970/2/8,3.3,8,1,5.6,8,1,0.8,8,1
1970/2/9,5.6,8,1,12.9,8,1,0.1,8,1
1970/2/10,2.6,8,1,7.5,8,1,-1.2,8,1
1970/2/11,3.6,8,1,7.6,8,1,-2.2,8,1
1970/2/12,6.4,8,1,12.3,8,1,-1.3,8,1
1970/2/13,8.6,8,1,13.5,8,1,2.1,8,1
1970/2/14,10.4,8,1,15.5,8,1,4.1,8,1
1970/2/15,7.5,8,1,13.1,8,1,2.8,8,1
1970/2/16,4.9,8,1,9.5,8,1,0.5,8,1
1970/2/17,7.1,8,1,11.9,8,1,0.4,8,1
1970/2/18,8.3,8,1,13.1,8,1,3.1,8,1
1970/2/19,11.2,8,1,17.7,8,1,3.0,8,1
1970/2/20,11.7,8,1,15.4,8,1,6.9,8,1
1970/2/21,11.4,8,1,16.2,8,1,7.7,8,1
1970/2/22,6.0,8,1,7.8,8,1,4.4,8,1
1970/2/23,5.6,8,1,8.0,8,1,3.1,8,1
1970/2/24,4.6,8,1,7.3,8,1,1.0,8,1
1970/2/25,4.7,8,1,6.1,8,1,2.5,8,1
1970/2/26,4.9,8,1,6.6,8,1,3.7,8,1
1970/2/27,8.0,8,1,13.4,8,1,2.0,8,1
1970/2/28,1.1,8,1,7.1,8,1,0.7,8,1
1970/3/1,3.0,8,1,8.1,8,1,-0.2,8,1
1970/3/2,1.8,8,1,6.9,8,1,-2.3,8,1
1970/3/3,3.7,8,1,7.9,8,1,-0.1,8,1
1970/3/4,2.1,8,1,4.2,8,1,0.9,8,1
1970/3/5,1.7,8,1,4.9,8,1,-0.4,8,1
1970/3/6,2.6,8,1,8.6,8,1,-2.6,8,1
1970/3/7,3.7,8,1,9.0,8,1,-2.0,8,1
1970/3/8,4.6,8,1,9.1,8,1,-1.0,8,1
1970/3/9,7.6,8,1,13.6,8,1,-0.4,8,1
1970/3/10,8.5,8,1,14.9,8,1,4.8,8,1
1970/3/11,6.1,8,1,9.5,8,1,2.8,8,1
1970/3/12,3.4,8,1,6.0,8,1,2.0,8,1
1970/3/13,3.5,8,1,5.6,8,1,0.5,8,1
1970/3/14,4.9,8,1,8.9,8,1,1.8,8,1
1970/3/15,3.2,8,1,6.2,8,1,1.3,8,1
1970/3/16,6.3,8,1,12.5,8,1,2.0,8,1
1970/3/17,4.8,8,1,8.9,8,1,1.0,8,1
1970/3/18,4.8,8,1,9.1,8,1,-0.1,8,1
1970/3/19,4.1,8,1,9.4,8,1,0.5,8,1
1970/3/20,3.6,8,1,8.6,8,1,-0.2,8,1
1970/3/21,4.9,8,1,9.5,8,1,0.5,8,1
1970/3/22,4.4,8,1,7.9,8,1,0.8,8,1
1970/3/23,5.3,8,1,9.3,8,1,2.0,8,1
1970/3/24,5.9,8,1,12.1,8,1,0.2,8,1
1970/3/25,6.4,8,1,12.1,8,1,1.3,8,1
1970/3/26,7.7,8,1,11.7,8,1,1.1,8,1
1970/3/27,9.2,8,1,13.9,8,1,3.3,8,1
1970/3/28,10.9,8,1,15.9,8,1,5.7,8,1
