ダウンロードした時刻：2018/07/22 14:26:56

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1910/1/1,10.3,8,1,18.2,8,1,7.2,8,1
1910/1/2,7.5,8,1,12.9,8,1,0.7,8,1
1910/1/3,4.8,8,1,11.4,8,1,-2.1,8,1
1910/1/4,2.2,8,1,10.0,8,1,-2.0,8,1
1910/1/5,1.2,8,1,3.3,8,1,-0.9,8,1
1910/1/6,5.4,8,1,13.3,8,1,-0.4,8,1
1910/1/7,8.1,8,1,15.1,8,1,5.1,8,1
1910/1/8,7.5,8,1,10.3,8,1,4.7,8,1
1910/1/9,10.6,8,1,17.7,8,1,6.0,8,1
1910/1/10,7.2,8,1,9.6,8,1,4.2,8,1
1910/1/11,1.7,8,1,4.8,8,1,-0.6,8,1
1910/1/12,2.2,8,1,6.6,8,1,-0.6,8,1
1910/1/13,2.8,8,1,3.8,8,1,1.9,8,1
1910/1/14,4.4,8,1,6.1,8,1,2.0,8,1
1910/1/15,1.2,8,1,2.6,8,1,-0.1,8,1
1910/1/16,0.7,8,1,2.8,8,1,-1.1,8,1
1910/1/17,2.6,8,1,6.3,8,1,-0.6,8,1
1910/1/18,2.6,8,1,7.1,8,1,-0.1,8,1
1910/1/19,5.2,8,1,10.8,8,1,-0.1,8,1
1910/1/20,3.8,8,1,5.9,8,1,0.0,8,1
1910/1/21,1.7,8,1,2.6,8,1,-0.3,8,1
1910/1/22,4.0,8,1,6.8,8,1,2.3,8,1
1910/1/23,4.6,8,1,7.4,8,1,1.1,8,1
1910/1/24,3.7,8,1,9.3,8,1,-0.1,8,1
1910/1/25,2.6,8,1,5.6,8,1,-0.9,8,1
1910/1/26,1.2,8,1,3.5,8,1,-0.6,8,1
1910/1/27,1.9,8,1,8.2,8,1,-3.6,8,1
1910/1/28,4.4,8,1,13.9,8,1,-2.1,8,1
1910/1/29,5.2,8,1,8.9,8,1,1.2,8,1
1910/1/30,5.8,8,1,9.3,8,1,3.6,8,1
1910/1/31,2.5,8,1,6.9,8,1,-1.6,8,1
1910/2/1,1.4,8,1,7.1,8,1,-2.1,8,1
1910/2/2,0.1,8,1,4.4,8,1,-5.8,8,1
1910/2/3,1.7,8,1,9.1,8,1,-5.5,8,1
1910/2/4,3.1,8,1,9.9,8,1,-3.7,8,1
1910/2/5,2.3,8,1,7.0,8,1,0.0,8,1
1910/2/6,2.1,8,1,9.1,8,1,-2.9,8,1
1910/2/7,3.4,8,1,10.4,8,1,-3.1,8,1
1910/2/8,4.1,8,1,8.2,8,1,-0.3,8,1
1910/2/9,4.3,8,1,11.4,8,1,0.3,8,1
1910/2/10,0.6,8,1,4.4,8,1,-2.6,8,1
1910/2/11,0.9,8,1,6.5,8,1,-4.7,8,1
1910/2/12,1.2,8,1,7.2,8,1,-3.1,8,1
1910/2/13,2.5,8,1,10.3,8,1,-4.1,8,1
1910/2/14,2.1,8,1,7.1,8,1,-3.5,8,1
1910/2/15,2.2,8,1,8.2,8,1,-4.0,8,1
1910/2/16,3.0,8,1,8.1,8,1,-4.3,8,1
1910/2/17,2.7,8,1,5.0,8,1,0.8,8,1
1910/2/18,3.1,8,1,6.8,8,1,-0.9,8,1
1910/2/19,2.8,8,1,8.4,8,1,-3.8,8,1
1910/2/20,2.4,8,1,5.8,8,1,-1.6,8,1
1910/2/21,2.2,8,1,7.2,8,1,-2.0,8,1
1910/2/22,3.4,8,1,8.5,8,1,-1.1,8,1
1910/2/23,4.1,8,1,8.1,8,1,0.4,8,1
1910/2/24,5.4,8,1,11.0,8,1,-0.3,8,1
1910/2/25,5.4,8,1,11.5,8,1,-1.4,8,1
1910/2/26,6.4,8,1,9.9,8,1,4.5,8,1
1910/2/27,4.5,8,1,8.0,8,1,1.1,8,1
1910/2/28,3.8,8,1,8.3,8,1,0.9,8,1
1910/3/1,3.4,8,1,7.7,8,1,0.7,8,1
1910/3/2,4.4,8,1,10.1,8,1,-2.7,8,1
1910/3/3,4.3,8,1,7.8,8,1,0.2,8,1
1910/3/4,2.4,8,1,7.4,8,1,-1.8,8,1
1910/3/5,2.3,8,1,7.0,8,1,-3.4,8,1
1910/3/6,2.8,8,1,10.1,8,1,-4.7,8,1
1910/3/7,3.2,8,1,9.8,8,1,-4.1,8,1
1910/3/8,4.0,8,1,10.3,8,1,-2.0,8,1
1910/3/9,4.5,8,1,9.8,8,1,0.6,8,1
1910/3/10,3.3,8,1,9.0,8,1,-1.1,8,1
1910/3/11,4.6,8,1,9.9,8,1,-1.6,8,1
1910/3/12,0.8,8,1,7.2,8,1,-0.9,8,1
1910/3/13,1.8,8,1,5.8,8,1,-2.0,8,1
1910/3/14,4.3,8,1,9.4,8,1,-0.4,8,1
1910/3/15,10.1,8,1,15.8,8,1,-0.9,8,1
1910/3/16,9.7,8,1,16.1,8,1,1.9,8,1
1910/3/17,4.8,8,1,10.7,8,1,-0.7,8,1
1910/3/18,6.4,8,1,11.5,8,1,-0.6,8,1
1910/3/19,13.3,8,1,20.9,8,1,5.5,8,1
1910/3/20,9.1,8,1,15.1,8,1,3.4,8,1
1910/3/21,7.3,8,1,11.0,8,1,4.5,8,1
1910/3/22,2.7,8,1,5.3,8,1,0.2,8,1
1910/3/23,5.3,8,1,9.7,8,1,0.2,8,1
1910/3/24,5.4,8,1,7.6,8,1,2.8,8,1
1910/3/25,8.4,8,1,14.9,8,1,0.9,8,1
1910/3/26,11.9,8,1,16.6,8,1,7.0,8,1
1910/3/27,15.8,8,1,20.6,8,1,11.8,8,1
