ダウンロードした時刻：2018/07/22 14:25:42

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1940/1/1,4.5,8,1,6.9,8,1,1.3,8,1
1940/1/2,1.7,8,1,5.3,8,1,-1.5,8,1
1940/1/3,4.1,8,1,12.3,8,1,-3.4,8,1
1940/1/4,5.5,8,1,11.0,8,1,-1.9,8,1
1940/1/5,8.0,8,1,19.8,8,1,0.2,8,1
1940/1/6,7.0,8,1,14.1,8,1,0.4,8,1
1940/1/7,6.2,8,1,11.0,8,1,2.4,8,1
1940/1/8,5.8,8,1,13.2,8,1,0.0,8,1
1940/1/9,0.7,8,1,4.4,8,1,-3.2,8,1
1940/1/10,-1.1,8,1,4.1,8,1,-6.0,8,1
1940/1/11,0.3,8,1,8.0,8,1,-6.4,8,1
1940/1/12,3.2,8,1,13.0,8,1,-4.2,8,1
1940/1/13,6.0,8,1,12.1,8,1,1.0,8,1
1940/1/14,4.5,8,1,8.7,8,1,1.3,8,1
1940/1/15,2.1,8,1,6.4,8,1,-1.4,8,1
1940/1/16,2.1,8,1,6.0,8,1,-1.8,8,1
1940/1/17,3.0,8,1,8.3,8,1,-2.0,8,1
1940/1/18,2.9,8,1,7.4,8,1,0.4,8,1
1940/1/19,1.2,8,1,8.5,8,1,-3.4,8,1
1940/1/20,1.5,8,1,8.0,8,1,-6.0,8,1
1940/1/21,1.8,8,1,8.6,8,1,-3.9,8,1
1940/1/22,1.5,8,1,8.5,8,1,-4.2,8,1
1940/1/23,2.4,8,1,11.0,8,1,-2.5,8,1
1940/1/24,1.1,8,1,6.7,8,1,-4.2,8,1
1940/1/25,-0.3,8,1,6.2,8,1,-5.9,8,1
1940/1/26,0.6,8,1,9.1,8,1,-6.5,8,1
1940/1/27,0.4,8,1,6.8,8,1,-6.2,8,1
1940/1/28,0.8,8,1,5.5,8,1,-3.2,8,1
1940/1/29,1.0,8,1,6.7,8,1,-4.2,8,1
1940/1/30,1.4,8,1,8.5,8,1,-6.2,8,1
1940/1/31,3.2,8,1,8.5,8,1,-1.5,8,1
1940/2/1,2.6,8,1,7.4,8,1,0.4,8,1
1940/2/2,2.1,8,1,6.3,8,1,-1.3,8,1
1940/2/3,3.2,8,1,6.4,8,1,0.5,8,1
1940/2/4,2.6,8,1,7.9,8,1,-1.9,8,1
1940/2/5,2.6,8,1,8.3,8,1,-3.5,8,1
1940/2/6,2.3,8,1,5.3,8,1,0.2,8,1
1940/2/7,2.9,8,1,6.1,8,1,-0.5,8,1
1940/2/8,1.0,8,1,6.8,8,1,-4.9,8,1
1940/2/9,1.0,8,1,6.1,8,1,-4.8,8,1
1940/2/10,2.0,8,1,8.7,8,1,-4.0,8,1
1940/2/11,3.8,8,1,9.7,8,1,-3.0,8,1
1940/2/12,6.7,8,1,11.4,8,1,2.4,8,1
1940/2/13,4.4,8,1,6.9,8,1,3.2,8,1
1940/2/14,7.5,8,1,16.8,8,1,2.7,8,1
1940/2/15,7.1,8,1,12.6,8,1,3.1,8,1
1940/2/16,5.5,8,1,13.3,8,1,0.1,8,1
1940/2/17,3.6,8,1,7.7,8,1,0.1,8,1
1940/2/18,2.9,8,1,6.8,8,1,-0.2,8,1
1940/2/19,2.5,8,1,7.1,8,1,-3.4,8,1
1940/2/20,4.7,8,1,9.2,8,1,0.6,8,1
1940/2/21,5.6,8,1,9.5,8,1,0.9,8,1
1940/2/22,2.7,8,1,6.6,8,1,-1.2,8,1
1940/2/23,2.0,8,1,7.9,8,1,-3.9,8,1
1940/2/24,4.2,8,1,10.0,8,1,-2.6,8,1
1940/2/25,4.5,8,1,11.9,8,1,-1.1,8,1
1940/2/26,4.1,8,1,8.5,8,1,0.9,8,1
1940/2/27,4.9,8,1,11.0,8,1,0.1,8,1
1940/2/28,4.6,8,1,13.5,8,1,-2.0,8,1
1940/2/29,4.5,8,1,9.8,8,1,0.5,8,1
1940/3/1,1.8,8,1,3.4,8,1,0.2,8,1
1940/3/2,5.0,8,1,12.0,8,1,0.2,8,1
1940/3/3,6.2,8,1,12.3,8,1,-1.1,8,1
1940/3/4,8.3,8,1,14.5,8,1,2.5,8,1
1940/3/5,10.2,8,1,15.2,8,1,3.9,8,1
1940/3/6,12.1,8,1,17.2,8,1,7.2,8,1
1940/3/7,7.4,8,1,9.9,8,1,6.1,8,1
1940/3/8,6.8,8,1,9.1,8,1,3.8,8,1
1940/3/9,7.5,8,1,9.2,8,1,5.9,8,1
1940/3/10,10.6,8,1,17.4,8,1,5.1,8,1
1940/3/11,9.2,8,1,14.2,8,1,2.5,8,1
1940/3/12,8.6,8,1,13.0,8,1,3.7,8,1
1940/3/13,8.7,8,1,14.3,8,1,1.6,8,1
1940/3/14,11.7,8,1,17.4,8,1,5.7,8,1
1940/3/15,9.5,8,1,13.9,8,1,4.5,8,1
1940/3/16,5.5,8,1,10.7,8,1,1.8,8,1
1940/3/17,5.7,8,1,12.0,8,1,-0.5,8,1
1940/3/18,7.5,8,1,13.4,8,1,3.0,8,1
1940/3/19,7.1,8,1,13.4,8,1,1.2,8,1
1940/3/20,9.0,8,1,14.8,8,1,4.5,8,1
1940/3/21,10.0,8,1,15.5,8,1,4.5,8,1
1940/3/22,5.0,8,1,9.2,8,1,1.2,8,1
1940/3/23,5.3,8,1,10.4,8,1,1.7,8,1
1940/3/24,6.9,8,1,13.7,8,1,0.5,8,1
1940/3/25,8.2,8,1,13.6,8,1,1.3,8,1
1940/3/26,9.6,8,1,14.5,8,1,4.4,8,1
