ダウンロードした時刻：2018/07/22 14:26:28

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1920/1/1,5.1,8,1,13.9,8,1,-2.3,8,1
1920/1/2,4.9,8,1,10.7,8,1,-1.4,8,1
1920/1/3,4.5,8,1,10.2,8,1,1.4,8,1
1920/1/4,3.8,8,1,7.9,8,1,0.0,8,1
1920/1/5,1.7,8,1,8.0,8,1,-3.9,8,1
1920/1/6,2.9,8,1,7.0,8,1,-2.7,8,1
1920/1/7,5.0,8,1,8.8,8,1,1.4,8,1
1920/1/8,5.5,8,1,12.3,8,1,-1.0,8,1
1920/1/9,4.2,8,1,11.5,8,1,-2.3,8,1
1920/1/10,3.1,8,1,8.8,8,1,-2.2,8,1
1920/1/11,3.8,8,1,11.9,8,1,-2.9,8,1
1920/1/12,5.3,8,1,9.7,8,1,0.3,8,1
1920/1/13,9.3,8,1,15.9,8,1,5.5,8,1
1920/1/14,5.4,8,1,11.0,8,1,1.3,8,1
1920/1/15,3.1,8,1,9.4,8,1,-1.7,8,1
1920/1/16,1.1,8,1,7.9,8,1,-3.8,8,1
1920/1/17,2.3,8,1,10.2,8,1,-4.3,8,1
1920/1/18,3.4,8,1,10.4,8,1,-3.4,8,1
1920/1/19,2.5,8,1,8.4,8,1,-2.7,8,1
1920/1/20,4.3,8,1,11.2,8,1,-2.4,8,1
1920/1/21,3.9,8,1,10.0,8,1,-1.1,8,1
1920/1/22,2.1,8,1,8.0,8,1,-2.6,8,1
1920/1/23,4.4,8,1,11.0,8,1,-1.6,8,1
1920/1/24,2.5,8,1,6.0,8,1,-1.4,8,1
1920/1/25,5.3,8,1,11.5,8,1,0.2,8,1
1920/1/26,5.7,8,1,11.5,8,1,2.6,8,1
1920/1/27,6.3,8,1,11.7,8,1,-0.1,8,1
1920/1/28,6.4,8,1,13.2,8,1,0.1,8,1
1920/1/29,2.2,8,1,6.3,8,1,0.4,8,1
1920/1/30,4.5,8,1,10.2,8,1,-0.7,8,1
1920/1/31,3.7,8,1,8.4,8,1,-0.1,8,1
1920/2/1,4.8,8,1,8.5,8,1,1.4,8,1
1920/2/2,5.1,8,1,7.8,8,1,2.8,8,1
1920/2/3,7.2,8,1,12.0,8,1,3.5,8,1
1920/2/4,5.1,8,1,8.5,8,1,2.9,8,1
1920/2/5,3.2,8,1,5.4,8,1,1.7,8,1
1920/2/6,5.5,8,1,11.4,8,1,1.0,8,1
1920/2/7,2.6,8,1,6.0,8,1,0.4,8,1
1920/2/8,-0.5,8,1,1.3,8,1,-1.8,8,1
1920/2/9,1.1,8,1,5.8,8,1,-3.1,8,1
1920/2/10,1.5,8,1,7.3,8,1,-3.0,8,1
1920/2/11,-0.4,8,1,3.9,8,1,-4.1,8,1
1920/2/12,1.1,8,1,5.7,8,1,-2.9,8,1
1920/2/13,0.8,8,1,5.7,8,1,-3.0,8,1
1920/2/14,1.3,8,1,5.3,8,1,-3.7,8,1
1920/2/15,0.3,8,1,2.0,8,1,-0.9,8,1
1920/2/16,4.0,8,1,9.5,8,1,-0.9,8,1
1920/2/17,4.0,8,1,8.8,8,1,-0.6,8,1
1920/2/18,3.8,8,1,7.1,8,1,1.3,8,1
1920/2/19,3.7,8,1,8.0,8,1,-0.9,8,1
1920/2/20,1.7,8,1,4.2,8,1,0.2,8,1
1920/2/21,2.0,8,1,6.8,8,1,-1.4,8,1
1920/2/22,3.5,8,1,9.7,8,1,-0.8,8,1
1920/2/23,0.7,8,1,2.2,8,1,-0.9,8,1
1920/2/24,0.9,8,1,4.2,8,1,-0.9,8,1
1920/2/25,2.9,8,1,7.8,8,1,-1.9,8,1
1920/2/26,3.4,8,1,8.6,8,1,-0.3,8,1
1920/2/27,4.4,8,1,8.0,8,1,1.0,8,1
1920/2/28,0.4,8,1,3.1,8,1,-1.1,8,1
1920/2/29,1.7,8,1,6.8,8,1,-1.6,8,1
1920/3/1,2.2,8,1,6.2,8,1,-2.3,8,1
1920/3/2,5.4,8,1,9.4,8,1,0.9,8,1
1920/3/3,5.1,8,1,9.6,8,1,3.4,8,1
1920/3/4,3.3,8,1,5.3,8,1,2.0,8,1
1920/3/5,4.2,8,1,9.3,8,1,1.4,8,1
1920/3/6,2.1,8,1,5.6,8,1,-0.2,8,1
1920/3/7,3.5,8,1,9.9,8,1,-3.1,8,1
1920/3/8,4.3,8,1,10.7,8,1,-2.3,8,1
1920/3/9,7.5,8,1,13.4,8,1,3.4,8,1
1920/3/10,8.5,8,1,14.7,8,1,2.2,8,1
1920/3/11,10.6,8,1,14.7,8,1,6.9,8,1
1920/3/12,6.8,8,1,9.9,8,1,1.1,8,1
1920/3/13,4.7,8,1,9.6,8,1,0.8,8,1
1920/3/14,5.5,8,1,7.3,8,1,3.4,8,1
1920/3/15,8.9,8,1,11.2,8,1,6.7,8,1
1920/3/16,12.8,8,1,18.9,8,1,6.1,8,1
1920/3/17,8.9,8,1,13.3,8,1,4.4,8,1
1920/3/18,6.5,8,1,12.7,8,1,1.6,8,1
1920/3/19,4.6,8,1,10.7,8,1,-1.1,8,1
1920/3/20,6.5,8,1,12.4,8,1,-1.0,8,1
1920/3/21,9.7,8,1,15.5,8,1,2.5,8,1
1920/3/22,12.3,8,1,17.4,8,1,6.5,8,1
1920/3/23,15.5,8,1,21.7,8,1,10.1,8,1
1920/3/24,5.9,8,1,10.1,8,1,4.4,8,1
1920/3/25,2.8,8,1,4.4,8,1,1.0,8,1
1920/3/26,4.0,8,1,7.4,8,1,0.9,8,1
