ダウンロードした時刻：2018/07/22 14:26:02

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1930/1/1,3.5,8,1,7.4,8,1,0.0,8,1
1930/1/2,3.0,8,1,8.1,8,1,-2.3,8,1
1930/1/3,4.8,8,1,9.2,8,1,2.1,8,1
1930/1/4,2.7,8,1,3.9,8,1,1.1,8,1
1930/1/5,2.9,8,1,7.6,8,1,-2.1,8,1
1930/1/6,2.2,8,1,6.2,8,1,-1.2,8,1
1930/1/7,1.2,8,1,6.2,8,1,-3.7,8,1
1930/1/8,1.1,8,1,6.8,8,1,-3.2,8,1
1930/1/9,1.4,8,1,5.3,8,1,-1.6,8,1
1930/1/10,1.2,8,1,6.6,8,1,-3.5,8,1
1930/1/11,3.1,8,1,7.9,8,1,-3.5,8,1
1930/1/12,2.9,8,1,5.6,8,1,0.5,8,1
1930/1/13,4.0,8,1,8.9,8,1,0.6,8,1
1930/1/14,3.2,8,1,7.2,8,1,-1.1,8,1
1930/1/15,7.5,8,1,12.5,8,1,1.9,8,1
1930/1/16,7.7,8,1,11.8,8,1,3.3,8,1
1930/1/17,6.0,8,1,8.6,8,1,3.8,8,1
1930/1/18,3.9,8,1,8.3,8,1,0.4,8,1
1930/1/19,2.9,8,1,7.2,8,1,-1.0,8,1
1930/1/20,3.3,8,1,8.4,8,1,0.4,8,1
1930/1/21,3.2,8,1,9.4,8,1,-3.1,8,1
1930/1/22,2.1,8,1,6.4,8,1,-2.1,8,1
1930/1/23,6.7,8,1,12.4,8,1,1.4,8,1
1930/1/24,5.6,8,1,13.7,8,1,-0.4,8,1
1930/1/25,4.2,8,1,9.8,8,1,-0.6,8,1
1930/1/26,4.5,8,1,8.6,8,1,-0.5,8,1
1930/1/27,4.0,8,1,8.0,8,1,0.8,8,1
1930/1/28,3.0,8,1,7.0,8,1,-1.6,8,1
1930/1/29,5.8,8,1,10.7,8,1,1.8,8,1
1930/1/30,6.2,8,1,10.8,8,1,1.9,8,1
1930/1/31,4.9,8,1,9.2,8,1,2.0,8,1
1930/2/1,2.4,8,1,4.8,8,1,0.6,8,1
1930/2/2,1.8,8,1,3.2,8,1,0.5,8,1
1930/2/3,4.7,8,1,9.3,8,1,1.8,8,1
1930/2/4,3.7,8,1,8.8,8,1,-0.6,8,1
1930/2/5,2.8,8,1,5.5,8,1,-1.4,8,1
1930/2/6,1.9,8,1,3.8,8,1,-0.2,8,1
1930/2/7,5.2,8,1,11.3,8,1,0.0,8,1
1930/2/8,4.6,8,1,9.1,8,1,0.4,8,1
1930/2/9,3.7,8,1,5.0,8,1,2.2,8,1
1930/2/10,6.3,8,1,9.5,8,1,4.0,8,1
1930/2/11,3.1,8,1,6.4,8,1,-1.3,8,1
1930/2/12,1.2,8,1,5.6,8,1,-2.8,8,1
1930/2/13,4.3,8,1,8.3,8,1,0.5,8,1
1930/2/14,4.8,8,1,9.9,8,1,0.0,8,1
1930/2/15,4.5,8,1,9.7,8,1,-2.3,8,1
1930/2/16,5.4,8,1,10.2,8,1,1.6,8,1
1930/2/17,4.2,8,1,8.4,8,1,0.9,8,1
1930/2/18,3.8,8,1,8.6,8,1,-0.7,8,1
1930/2/19,4.6,8,1,9.7,8,1,0.7,8,1
1930/2/20,9.1,8,1,16.4,8,1,-0.2,8,1
1930/2/21,8.0,8,1,11.9,8,1,5.5,8,1
1930/2/22,9.5,8,1,14.6,8,1,6.2,8,1
1930/2/23,10.1,8,1,15.2,8,1,7.9,8,1
1930/2/24,14.8,8,1,24.9,8,1,8.0,8,1
1930/2/25,13.3,8,1,19.4,8,1,8.1,8,1
1930/2/26,7.3,8,1,11.8,8,1,0.9,8,1
1930/2/27,2.5,8,1,4.5,8,1,0.3,8,1
1930/2/28,2.4,8,1,4.2,8,1,1.3,8,1
1930/3/1,5.0,8,1,10.5,8,1,-1.2,8,1
1930/3/2,7.5,8,1,12.1,8,1,3.0,8,1
1930/3/3,7.5,8,1,8.6,8,1,5.4,8,1
1930/3/4,9.5,8,1,12.3,8,1,6.2,8,1
1930/3/5,6.3,8,1,7.1,8,1,4.5,8,1
1930/3/6,3.8,8,1,5.3,8,1,1.5,8,1
1930/3/7,3.7,8,1,6.6,8,1,0.4,8,1
1930/3/8,6.0,8,1,8.4,8,1,2.8,8,1
1930/3/9,8.7,8,1,11.5,8,1,5.9,8,1
1930/3/10,5.1,8,1,10.4,8,1,1.0,8,1
1930/3/11,4.3,8,1,8.7,8,1,0.6,8,1
1930/3/12,5.3,8,1,10.7,8,1,-2.6,8,1
1930/3/13,8.8,8,1,13.6,8,1,4.0,8,1
1930/3/14,13.8,8,1,18.9,8,1,9.1,8,1
1930/3/15,11.8,8,1,17.1,8,1,6.1,8,1
1930/3/16,9.6,8,1,15.7,8,1,3.6,8,1
1930/3/17,9.8,8,1,14.4,8,1,3.7,8,1
1930/3/18,10.2,8,1,16.4,8,1,3.8,8,1
1930/3/19,9.0,8,1,13.6,8,1,5.3,8,1
1930/3/20,5.8,8,1,9.2,8,1,3.3,8,1
1930/3/21,7.2,8,1,13.1,8,1,2.5,8,1
1930/3/22,7.2,8,1,15.0,8,1,0.0,8,1
1930/3/23,9.5,8,1,17.0,8,1,0.4,8,1
1930/3/24,12.4,8,1,20.1,8,1,4.1,8,1
1930/3/25,10.4,8,1,12.1,8,1,8.1,8,1
1930/3/26,11.6,8,1,15.6,8,1,8.0,8,1
1930/3/27,12.8,8,1,16.2,8,1,9.7,8,1
1930/3/28,14.9,8,1,17.6,8,1,12.7,8,1
